text,characters,words,page_number,font_size,is_bold,font_threshold_flag,y_position,x_position,relative_font_size,text_case,verbs,nouns,adjectives,adverbs,pronouns,cardinal_numbers,coordinating_conjunctions,starts_with_number,ends_with_colon,has_punctuation,relative_y_position,avg_word_length,word_density,verb_ratio,noun_ratio,adjective_ratio,is_short,is_very_short,is_heading
"The EUROCALL Review, Volume 25, No. 2, September 2017",53,9,1,11.039999961853027,0,1,37.559967041015625,166.6999969482422,1.1645570142346964,3,0,0,0,0,0,0,0,0,0,1,1.0,5.888888888888889,0.16981132075471697,0.0,0.0,0.0,1,0,0
18,2,1,1,8.039999961853027,0,0,798.8099365234375,293.57000732421875,0.8481013027513706,3,0,0,0,0,0,0,0,0,0,0,0.0,2.0,0.5,0.0,0.0,0.0,1,1,0
Research paper,14,2,1,23.040000915527344,1,1,70.82478332519531,85.10399627685547,2.430379960766561,3,0,0,0,0,0,0,0,0,0,0,0.956302374229589,7.0,0.14285714285714285,0.0,0.0,0.0,1,1,0
A look at advanced learners’ use of mobile devices for,54,10,1,13.5600004196167,1,1,143.1121826171875,92.66400146484375,1.4303798601679996,3,0,0,0,0,0,0,0,0,0,0,0.8613435536188758,5.4,0.18518518518518517,0.0,0.0,0.0,1,0,0
English language study: Insights from interview data ,53,7,1,13.5600004196167,1,1,159.43218994140625,95.66400146484375,1.4303798601679996,3,0,0,0,0,0,0,0,0,0,0,0.8399051194928097,7.571428571428571,0.1320754716981132,0.0,0.0,0.0,1,0,0
Mariusz Kruk ,13,2,1,9.479999542236328,1,0,190.172607421875,262.7300109863281,1.0,2,0,0,0,0,0,0,0,0,0,0,0.7995236170786035,6.5,0.15384615384615385,0.0,0.0,0.0,1,1,0
"University of Zielona Gora, Poland",34,5,1,9.479999542236328,1,0,201.69256591796875,206.69000244140625,1.0,3,0,0,0,0,0,0,0,0,0,1,0.7843906660665645,6.8,0.14705882352941177,0.0,0.0,0.0,1,1,0
______________________________________________________________,62,1,1,9.479999542236328,1,0,213.21258544921875,88.34400177001953,1.0,3,0,0,0,0,0,0,0,0,0,0,0.769257634876977,62.0,0.016129032258064516,0.0,0.0,0.0,1,1,0
mkruk @ uz.zgora.pl ,20,3,1,9.479999542236328,0,0,224.7625732421875,247.85000610351562,1.0,0,0,0,0,0,0,0,0,0,0,1,0.7540852365111397,6.666666666666667,0.15,0.0,0.0,0.0,1,1,0
Abstract ,9,1,1,9.479999542236328,1,0,258.362548828125,85.10399627685547,1.0,2,0,0,0,0,0,0,0,0,0,0,0.7099473357782408,9.0,0.1111111111111111,0.0,0.0,0.0,1,1,0
The paper discusses the results of a study which explored advanced learners of English,86,14,1,9.479999542236328,0,0,275.16259765625,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,0,0.6878783052342429,6.142857142857143,0.16279069767441862,0.0,0.0,0.0,0,0,0
engagement with their mobile devices to develop learning experiences that meet their,84,12,1,9.479999542236328,0,0,286.68255615234375,85.10399627685547,1.0,0,0,0,0,0,0,0,0,0,0,0,0.6727453542222038,7.0,0.14285714285714285,0.0,0.0,0.0,0,0,0
needs and goals as foreign language learners. The data were collected from 20 students,86,14,1,9.479999542236328,0,0,298.20257568359375,85.10399627685547,1.0,3,0,0,0,0,0,0,0,0,0,1,0.6576123230326163,6.142857142857143,0.16279069767441862,0.0,0.0,0.0,0,0,0
