text,characters,words,page_number,font_size,is_bold,font_threshold_flag,y_position,x_position,relative_font_size,text_case,verbs,nouns,adjectives,adverbs,pronouns,cardinal_numbers,coordinating_conjunctions,starts_with_number,ends_with_colon,has_punctuation,relative_y_position,avg_word_length,word_density,verb_ratio,noun_ratio,adjective_ratio,is_short,is_very_short,is_heading,predicted_heading,heading_probability
Human Ecology and Family Sciences – Part I,42,8,1,9.0,0,0,84.21358489990234,316.8373107910156,0.8181818181818182,3,0,0,0,0,0,0,0,0,0,0,1.0,5.25,0.19047619047619047,0.0,0.0,0.0,1,0,0,0,0.0009761350348202058
28,2,1,1,11.0,0,0,391.44769287109375,60.97560119628906,1.0,3,0,0,0,0,0,0,0,0,0,0,0.552014687943444,2.0,0.5,0.0,0.0,0.0,1,1,0,0,0.0009761350348202058
3,1,1,1,50.0,1,1,191.0281982421875,466.49810791015625,4.545454545454546,3,0,0,0,0,0,0,0,0,0,0,0.8442510885059972,1.0,1.0,0.0,0.0,0.0,1,1,0,0,0.0009761350348202058
"Food, Nutrition,",16,2,1,30.0,0,1,167.52001953125,134.8861083984375,2.727272727272727,2,0,0,0,0,0,0,0,0,0,1,0.8785289193277239,8.0,0.125,0.0,0.0,0.0,1,1,0,0,0.0009761350348202058
Health and,10,2,1,30.0,0,1,203.52001953125,134.8861083984375,2.727272727272727,3,0,0,0,0,0,0,0,0,0,0,0.8260364687318797,5.0,0.2,0.0,0.0,0.0,1,1,0,0,0.0009761350348202058
Fitness,7,1,1,30.0,0,1,239.52001953125,134.8861083984375,2.727272727272727,2,0,0,0,0,0,0,0,0,0,0,0.7735440181360356,7.0,0.14285714285714285,0.0,0.0,0.0,1,1,0,0,0.0009761350348202058
3.1 Introduction,16,2,1,16.0,1,1,537.8818359375,134.8861083984375,1.4545454545454546,2,0,0,0,0,0,0,0,0,0,1,0.3384956040418299,8.0,0.125,0.0,0.0,0.0,1,1,0,0,0.0009761350348202058
The onset of adolescence brings with it many profound changes. The growth,73,12,1,11.0,0,0,569.433837890625,134.8861083984375,1.0,3,0,0,0,0,0,0,0,0,0,1,0.29248888449393007,6.083333333333333,0.1643835616438356,0.0,0.0,0.0,0,0,0,0,0.0009761350348202058
rate speeds up dramatically. This growth spurt occurs due to the activity,73,12,1,11.0,0,0,583.433837890625,134.8861083984375,1.0,3,0,0,0,0,0,0,0,0,0,1,0.27207515370665736,6.083333333333333,0.1643835616438356,0.0,0.0,0.0,0,0,0,0,0.0009761350348202058
of hormones that affect every organ of the body and this makes healthy,70,13,1,11.0,0,0,597.433837890625,134.8861083984375,1.0,0,0,0,0,0,0,0,0,0,0,0,0.2516614229193846,5.384615384615385,0.18571428571428572,0.0,0.0,0.0,0,0,0,0,0.0009761350348202058
